Acronym,Meaning,Description
OSWS,On Silicon White Space,For more Info ? Nisar
OTF,Optical Transfer Function,See progen notes/manual for additional details
OVL,Overlay,1. A MR which checks between the critical mask layer and non-critical mask layer (aka sub-layer) to make sure certain mask data between IMO write steps follow rules given in the blanking spec. 
PAG,Photo Acid Generator,
PAL,Pattern accumulation layer,
PAMC,Process Bias Alternate Metrocell,
PAS,Progress/Performance Against Schedule,
PBM,PMOS Block Mask,
PCAR,Positive Chemically Amplified Resist,See http://www.lithoguru.com/scientist/glossary/C.html. See NCAR.
PCCD,PAL Check Critical Dimension,"A CD measured in PAL. This also goes by a number of different names in different technologies, depending on the process and the layer where the dimension is measured."
PCL,Poly Cut Large,Layer - 1277 and 1278. Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
PCx,"Poly Cut x (x = 1 ,2 ,3, etc)",Layer - also called PCT. Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
PCP,Post-CMDL Processing,
PDK,Product Design Kit,In the context of LTD Quarterly Updates
PDL,Public Distribution List,
PDS,Parallel Distribution System,
PDS,Process Drawing Specification,
PDV,Process Descriptor Value,Defines the process used at IMO to fabricate a certain mask from start to finish similar to a “route” in the fab. The PDV in the sizing MR is used to communicate the mask process that should be used for a given reticle.
PEB,Post Exposure Bake,Wafer is baked after exposure to carry out the chemical reaction in CAR. Found in Lot checklist from lithography owner. 
PEC,Poly End Cap,
PF,Path Finding,
PFO,Process Flow Overview,An overview of all the steps that a wafer undergoes in the fab for a particular production process.
PFR,Pattern File Reuse,When a mask is taped out without execution of the recipe and instead data from a previous tapeout is used to construct the jobdeck. E.g. when the only thing changing for a mask is the PDV and the change is OPC/MEC neutral.
PGD,Parallel to Gate Direction,Orthogonal to fin direction
PHA,Pinhole Ash,
PID,Photo-Induced Defect,Primary culprit in reducing mask lifetime in the fab.
PLP,Poly Phase,Poly-silicon layer used to make transistor gates and interconnects
PLRC,Proteus Lithography Rule Checker,
PNTD,Physical Negative Tone Developer,
PO,Projection Optics,
POR,Plan Of Record,"Any agreed upon official ""plan"" such as a budget, schedule, process flow, equipment type, and etc."
PPA,Power Performance Area,"PPA stands for power, performance and area, and historically these have been the three variables used in deciding how to optimize semiconductor designs."(ref: https://semiengineering.com/knowledge_centers/eda-design/definitions/ppa/)
PPF,Peripheral Pattern File,"The PPF refers to the layout outside of the frame and devices, i.e. the layout is not in the active area that is printed on wafer. The PPF contains patterns needed by IMO and the scanner/inspection tools in the fab to align the reticle on to various tools. It also contains metrology structures used at IMO. PPFs are created by IMO and there is one that corresponds to each IMO plate type."
PPG,Program Pattern Generator,Software tool built by PTM
PPM,Program Priorities Meeting,
PPTD,Physical Positive Tone Developer,
PRC,Pattern Recognition Cell,
Pre-EDS sizing,Pre-(Edge Data Sizing) sizing,Pre-EDS sizing is an underover/overunder applied to tape data before it is processed by IMO to clean the data of slivers resulting from MEC DMM. Pre-EDS sizing does essentially the same job as MEC Fixup (assuming boundary/blanking rectangle keepaways are enforced since MEC Fixup is presently applied only at the device level) and so is obsolete for 1276+ with the introduction of MEC Fixup. Not to be confused with EDS.
PRQ,Production Release Qualification,"Production Release Qual (PRQ) uses data to verify that the product meets Intel's Q&R requirements and is ready for commercial shipment. This is the final stage of certification, which takes place after ATR and LEC, etc."
,,PRQ is part of the Intel Product Life Cycle.
PSM,Phase Shift Mask,"A reticle that utilizes phase shifts in light to improve resolution.  PSM can be attenuating or alternating. In the context of Calibre's SVRF tool used by the recipe team in PreOPC, this can refer to specific commands that were developed for some application that involved a PSM, but are actually just geometric operations that are not intrinsically related to PSM."
PTD,Portland Technology Development,"Intel's main fab R&D division, which we all work in. This is a subset of LTD, but contains most of LTD."
PTD,Positive Tone Develop,"Photoresist that, when exposed to light, will wash away during the develop stage. See PCAR. The opposite of NTD/NCAR."
PTM,Process Technology Modeling,
PVD,Physical Vapor Deposition,
PWL,P-well,A fab layer that is used in positive implant doping.
PWP,Preliminary White Paper,
Q&R,Quality and Reliability,
QA,Quality Assurance,
QSA,?,QSA is another imaging tool like the CDSEM. Modelers collect images from the QSA tool typically for building the weak image metric.
QTM,Quick Turnaround Monitor,Reduced fab process flow for a quick turnaround on defect/yield data at a very specific step in the fab process flow 
R&U,Read and Understand,Usually used in the context of a SPEC.
RA,Ronler Acres,The Intel Oregon campus where RET is located.
RAO,Random Access Output,A strict OASIS file format used by Mazama to allow partial reading. TES has a module invoking raoUtil to make reading oasis files faster by mazama modules. See Mazama manual.
RC,Resist Confined,
RCG,Recent College Graduate,A graduate from a four year or higher program obtaining the degree within the last 12 months. Formerly known as NCG (New College Graduate).
RDFT,Reticle Design Focus Team,
RCM,Rambo Command Module,"The Rambo Command Module (RCM) is a small utility that will allow you to run Rambo Commands (originally from Split-Speed BIOS) with the full BIOS. This will allow you to test and validate your settings without having to solely rely on ITP or com port output. Additionally, the module can be loaded at multiple points throughout the boot processes to gather multiple data points."
RCM,Recipe Convergence Monitoring,Tool within OPC libraries to monitor convergence of mask segment movements during correction. See Recipe compute monitoring (Mazama) and ALT Recipe Convergence Monitoring (ALT).
RDM,Reference Data Management,Used by TTDOPS to scrape all TES/METIS transactions to launch jobs or record metrics - RDM Technical Details
RDR,Restricted or Restrictive Design Rules,
RECL, Rear End Community Lot, A shorter stack of layers for quick turnaround on testing rather than waiting for the full stack. RECL is backend metal on the frontside of the wafer. Metals are not connected to transistors.
Reg,Registration,The (mis-)alignment between features within a single mask. Not to be confused with overlay.
REPO,REcess POlish,
RET,Resolution Enhancement Technology,A division of TTD.
Reticle,Reticle,"In lithography, this is a synonym for ""plate"", ""mask"" or ""photomask."""
RFC,Response Flow Checklist,A Response Flow Checklist is a list of things to check and do to re-stabilize a process when it goes Out Of Control or Out Of Spec. In the bussiness coord folder
RIE,Reactive Ion Etch,Also know as Dry Etch.
RISO,Repaired ISO,"Benchmark for wafer yield success (700 max), determined by defect density ''after'' repairable defects have been repaired. The yield is exp(-RISO/700), since this is the probability of 0 defects on a chip, assuming that the defects are Poisson-distributed."
RISO,Redundant ISO,
RLS,Rigorous Lithography Simulation,
ROI,Region of interest,"In mazama, you set this for a model and that is where contours are generated."
RS,Recipe Set,"A set of module recipes associated with a layer. These typically include PreOPC, ChkPreOPC, OPC, ChkOPC (CBC), MEC, ChkMEC, and others. All of these module recipes will be run in TES according to the SEQ for the layer."
RSNDA,Restricted Secret Non Disclosure Agreement,Restricted Secret Non Disclosure Agreement
RSO,Recipe Set Owner,The Recipe Team member who is responsible for a Recipe Set.
RTP,Rapid Thermal Process,
RTS,Regression Test Suite,A set of comprehensive tests for updating and changing testing tools
RTW,Release to Write,Gives approval for jobdeck data to be released to IMO for mask write
RU,Raster Unit,
RUNDA,Restricted Use Non-Disclosure Agreement,An agreement that allows a party a restricted use of Intel Top Secret (RED Cover) information.
RVE,Results Viewing Environment,In the context of Calibre
RW,Real Work,
SAC,System Address Controller,
SADP,Self-Aligned Double Patterning,A process used to generate metal lines whose FCCD pitch is half of the DCCD pitch.
SAQP,Self-Aligned Quadruple Patterning,A process used to generate metal lines whose FCCD pitch is one fourth of the DCCD pitch.
Saffron,Saffron,A conformal ALD layer ~ 8 - 9 nm thick.
SALID,Self ALigned Inter-level for DSA ,
SAV,Self Aligned Via,See 1272 SAV Process Review.
SB,Soft Bake,Resist bake post wafer coating. Found in Lot checklist from lithography owner. 
SC,Santa Clara,"Here, this typically refers to the computing cluster located in Santa Clara, as opposed to the one located in Oregon."
SCTO_d_1,Santa Clara Tapeout Environment d 1,Name of server environment or pool where jobs are run.
SDR,Standard Design Rules,"The design rules that will be used in an actual product. During development, SDR is used in YLD/ULV chips (which mostly contain bitcells and, in 1276, Y-Test structures) and in most other locations. It is not used for frame structures (see FDR) or certain regions on test chips (see TSDR)."
SEM,Scanning Electron Microscope,
SEPE,Stochastic Edge Placement Error,
SEQ,Sequence Equation,"A list of module recipes that need to be run in TES for a layer, specifying which modules are taking input from which other modules."
SERP,Sheltered Employee Retirement Plan (or Program),SERP consists of three components: Profit Sharing Plan; 401(k) Savings Plan; Pension Plan. The Intel Profit Sharing Retirement Plan is designed to provide Eligible Employees with retirement benefits AND enhance their interest in Intel's success. The 401
SIF,Special Instruction Form,Where engineers can make special processing requests of a lot at a specific step.
SIR,Supervisor Injury/Incident Report,"A report that is completed by the manager or supervisor of an injured employee. The SIR form contains: A complete description of the incident, including the equipment and materials involved."
SLA,Service Level Agreement,
SLAM,Sacrificial Light Absorbing Material,"Intel process to put down an material prior to resist to improve exposure by limiting reflectivity.  The material generally is not photo-active, and must be etched open.  It is later removed after the pattern has been printed"
SLES,SUSE Linux Enterprise Server,Open source Linux-based operating system developed by German company SUSE (“Software Und System-Entwicklung” - software and systems development) 
SM,Special Metal,N-type work0fucntion metal (Ti-Al-Carbide)
SMEO,Special Metal Etch Out,
SMO,Source Map Optimization,"The stage of model development when the modeler chooses the intensity map for the light source that will be used by the stepper. Different sources have different advantages in terms of resolution in different directions and different pitches. SMO can refer to this process in general, or to a specific tool that is used to perform the process."
SN,Supernova,A software platform associated with the QSB tool to analyze SEM image data
SO,Synthesis Owner,The recipe team member who owns the synthesis recipe (probably called PreOPC1) for a given layer or layers. The synthesis step is where designer-drawn features are used to create the actual FCCD target for each mask that will be used in the fab.
SOC,System On a Chip,
SOG,Spin On Glass,General term whose purpose is the same as SLAM
SOI,Silicon On Insulator,
SOP,Stock Option Program,The Stock Option Program is an important part of Intel's compensation and benefits program. All employees considered by Intel to be regular full-time and part-time employees are eligible to be recommended for stock option grants. Stock options are a discr
SPAF,Sub-resolution Phase Assist Feature,"In the context of LEPSM masks, these are features etched into the glass to improve line ETE resolution."
SPC,Statistical Process Control,"The term ""SPC chart"" frequently comes up in discussions with Litho. Litho regularly makes control charts, based on metrocell SEM data, to determine whether tools are drifting or whether particular lots or wafers are outliers. When statistically aberrant data is observed, it must be investigated and dispositioned."
SPM,Stepper Performance Marks,Frame cells used by Fab for “first-layer” (or intra-layer) registration.
SPOC,Single Point of Contact,Person to talk to about a specific topic (e.g. a technology)
SPP,Stock Participation Plan,The Stock Participation Plan (SPP) allows eligible Intel employees to purchase Intel Common Stock at a discounted rate through payroll deductions.
SRAF,Sub-Resolution Assist Feature,To help with printing of layout on wafer. Used to improve mask image registration - Does not print on wafer - Check Sub-Resolution Assist Features (SRAFs)
SRAM,Static Random Access Memory,Flip-flop latching circuit usually made of multiple transistors - now this means a set of logic units and bit cells
SRB,Synthesis Review Board,"A committee that used to approve new recipe sets. In mid-2017, it was decided that the responsibilities of SRB should be passed to tech review, code review, and focus team reviews. See here. (Side note: The use of ""synthesis"" here is distinct from the use of ""synthesis"" in, for example, PreOPC1. The ""synthesis"" that was being reviewed here was the combination of all of the recipes in a recipe set. The idea was that SRB would look at the big picture to try to catch any errors that may occur in the release.)"
SRC,SEM Review,A verification SEM tool supplied by Applied Materials.
SRG,Sub-Resolution Grating,A dense grating of SRAFs.
SRH,SEM Review Hitachi,A verification SEM tool supplied by Hitachi. Supposed to be very similar to our CD-SEMs.
SRK,SEM Review KLA-Tencor,A verification SEM tool supplied by KLA-Tencor.
SRL,Short Running Layer,
SRPEC,Short Range Proximity Correction,A type of short range correction to the input of the e-beam writer when writing patterns on mask resist.
SRR,Scribe Reference Rectangle,"Dimensions of final tapein seat, includes device and etch ring"
SSAFI,Super Self-Alignment for Interconnects,The name of a fab process related to SAV.
SSAFRON,Super Self Aligned for Front-End,
SSH,Secure Socket Shell,UNIX-based command interface and protocol for securely getting access to a remote computer
ST,Show Stopper ,Utilized in CGM
STC,Small Test Case,
STENCIL,Stencil of Patterns,A set of tools to extract unique patterns from an Oasis database. More information can be found here.
STS or S2S,Side To Side,"(1) Two nearby features with parallel, adjacent edges that ""face"" or project onto one another. If the features have a high aspect ratio, then the facing edges should be on the long sides of the features. (2) The distance between two features in such a configuration."
SVD,Singular Value Decomposition,See the Wikipedia page.
SVRF,Standard Verification Rule Format,In the context of Calibre
TAC,Technical Assistance Center,"Provides computer-related assistance to Intel employees. Phone Number: iNet 356-1234 (or your site phone access code followed by -1234, example: Santa Clara employees can dial 5-1234)."
TAC,Tachyon Application Center (TAC ? TACX to prevent overloading the acronym),Tachyon is an ASML lithography simulation tool.
TATR,Tapeout Automation Tool Requirements,
TBD,To Be Determined.,The decision or creation will be at a future date not yet established.
TC,Test Chip,"One type of seat in a reticle. Test chips are usually used to test and understand the limits of the production process by breaking certain design rules (e.g., deliberately introducing registration error, changing feature sizes, etc.) and using electrical test and/or SEM data to interpret the effect on the wafer."
TCC,Transmission Cross-Coefficient,"Copied verbatim from source: ""An optical model is obtained by computing a set of Transmission Cross Coefficients (TCCs). Then, the intensity at wafer level is evaluated using these coefficients. Absorbing all illumination and pupil information, the TCCs completely characterize the system and thus computing aerial images for different mask patterns but the same optical setup can be done without recourse to TCC re-computation. This is particularly valuable for Resolution Enhancement Techniques (RETs) such as OPC."""
TCN,Trench Contact,Layer specifying the source and drain of a transistor. Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
TCS,Tapeout Computing Services,
TEAL,,New N-type work function metal (new version of SM)
TED,Transcription Enterprise Directory,
TEDS,Training and Employee Development System,TEDS is the cert-tracking system for Intel. Every Intel employee has a TEDS account where certification requirements and Intel U course history are stored. TEDS Everyone is the web interface where all employees can view their accounts as Student Users.
TES,Tapeout Execution System,
TF,Through Focus,"Refers to behavior as the focus plane of the stepper is varied (or, equivalently, topography on the wafer moves the surface of the wafer with respect to the focus plane)."
TG,Thick Gate,
TI,Tape In,Layout databases are delivered to ITO
TIC,Tapein Collateral,OASIS files that various design teams provide us in advance of a tapeout to ensure that our recipes are ready.
TIE,Tapeout Integration Engineering,Executes PDS change requests from FCSO
TLA,Three Letter Acronym,An initialism made with the first three letters of a term. An example is TLA for three-letter acronym.
TLE,Tri-Layer Etch,An etch process involving the etch of three successive layers in the wafer stack. Example: an etch of SiARC (Silicon Anti-Reflective Coating) + CHM (Carbon Hard Mask) + SiO2 HM (oxide hard mask)
TMA,Tapeout Mask Assurance,"A ""test"" tapeout used to (1) make sure that our tapeout process runs smoothly and (2) provide IMO with a sample jobdeck so that they can verify that their operations will also run smoothly"
TMG,Technology Manufacturing Group,A strategic business group within the Intel organization.
TMG – TD,Technology Manufacturing Group – Technology Development,
TO,Tape Out,ITO delivers maskdata from processed layout databases to IMO
TOE,Tape Out Engineer,
TOOPS,Tapeout Operations ,Business Group
TOP,Tape-Out Project,A set of layout files and layers to be run in TES.  Typically there is a tapeout project associated with any given product or test vehicle.
TO-PREP,Tape-Out Preparation,
TPI,Track Per Inch,
TPT,Throughput Time.,The time required to complete an operation or process.
TPx,"Trench Contact Plug x (x = 1, 2, 3, etc)",Layer - also called TCP
TR,Transition Region,Region in layout where pitch changes gradually.
TRF,Tooling Request Form,
True/False Scribe,,"Area on mask that is exposed/not exposed and serves for overlapping neighbor dies to check for die alignment, rotation, among other parameters."
TSDR,Test Set Design Rules,"Special design rules used in certain structures drawn by E-Test. These structures are used to test the window in which the fab process (the entire process, including etch, polish, etc.) will work. For example, a certain feature type may be enlarged or shrunk until the process fails."
TTD,Tapeout Technology Development,
TTM,Time To Market,
ULV,Ultra Low Voltage,One type of seat on a die - in the context of data automation
UPF,Unified Process File,Circuit simulation model parameter file used in all of the design timing simulations to ensure that products meet performance targets before tapeout. Silicon to Simulation (sil2sim) mismatch happens when the actual fab performance doesn't meet the UPF targets.
UPF,Unified Power Format,https://en.wikipedia.org/wiki/Unified_Power_Format
UTX,,"Ghossoub, Marc Could you fill this out please? "
VA#,Via #,"The via layer that sits on top of metal layer #. For example, VA1 sits on top of MT1. Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names."
VCx,Via contact layers,Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
VDF,Vertical Diffusion Furnace,
VF,Virtual Factory,"Computer integrated manufacturing facilities working in harmony, so they function as a single organization. Intel uses ""Copy Exactly!"" to implement the best practices across the corporation."
VGP,Via contact to Gate Plug ,Layer
VGR,Via contact to Gate R,Layer
VLSI,Very Large Scale Integration,
VNC,Virtual Network Computing,
VOC,Vendor of Choice,A program to conduct ongoing reviews of key customer needs and satisfaction. Program replaced in 2003 by the Customer Excellence Program. See CEP.
VPN,Virtual Private Networks,See the Wikipedia page. A VPN is used at Intel to access the Intel network when offsite.
VSB,Variable Shape Beam,In context of IMO e-beam writing. See MBM.
VSIF,variable space intermediate film,
VTA/B,Via contact TCN A/B,Layer. Refer RET Fab Glossary#Glossaryoflayers for a glossary of layer names.
WCCG,Wireless Communications and Computing Group,
WFH,Work From Home,
WFM,Work-Function Metal,
WI,Weak Image,See Failure Prediction (Weak-Image) Training: RET Model Team.
WIP,1. Work in Progress,
WIP,2. Wafers in Process,
WLE,Work Life Effectiveness,Work environment solutions that reduce barriers to effectiveness caused by work and personal life challenges.
WP,White Paper,Written documentation with an established format for providing detailed communication.
WRC,Wafer Rule Check,"An old name for what we now call ""CBC violations."" The prefix ""wrc_"" is still attached to the names of the directories that CBC produces as output."
WTK,Write to Know,"A program that allows employees to ask any business-related question about Intel and recieve answers. Questions can pertain to the entire company, a particular site or a particular business group."
WTL,IMO Walk The Lot,a tapeout that will not result in NPI or an actual option plate but just to exercise various modules in IMO and/or fab
WW,Work Week,"The week of the year, as a number. The first week of the year is WW1, and the last is WW52 or WW53."
WWID,World Wide ID,Unique 8-digit (ex. 10012345) employee number assigned to each Intel employee or contractor.
XT,eXTraction,
X:Y,Layer Number : Datatype,In the context of Calibre layer classification 
ZBB,Zero-Based Budgeting,"A form of budgeting in which every item must be re-approved for every budget cycle, rather than only changes from last cycle's budget. Some Intel people use this as a verb; to say that something ""has been ZBB'd"" means to say that it has been eliminated from the ""budget"" of engineering resources because it is not a high enough priority to pursue at this time."
ADM,Added and Dropped data and MRC - New check within HTO tapeout flow which replaces reverse fracture under NHTO,,https://intelpedia.intel.com/Intel_Acronyms
AIMS,Aerial Image Measurement Simulator - Mimics stepper parameters to simulate image of repair site at resist level,,
APSM,Alternating Phase Shift Masks - A strong phase shift technique used for line/space patterns (poly),,
ATD,Assembly Test Development,,
ATM,Assembly Test Manufacturing,,
C4,Controlled collapse chip connection,,
CCB,Change Control Board  - Manages the process of introduction of new major software tools and hardware into the Tapeout Environment,,
CD,Critical Dimension,,
CRS,Compute Resource Statistics,,
CSO,Definition #1:,,
CSO,Cell Set Owner - Obsolete - See FCO,,
CTI,Central Tape-In;  Linux area that is used for automated transfers from Design teams.  Example: /p/tapeout/CT27,,
CTOE,Chuck's Table Of Experiments.  Named after Chuck Winstead one of the creators of Tapeout Execution System (TES).  CTOE is an Excel Plug-In that allows direct input of table entries in the TES primary database.  It is executed though Windows Terminal Server in the Fab Automation compute environment.,,
DATUM,Data Administrator & Tapeout Utility Manager – the database driven tool by which we manage tapeouts. OBSOLETE,,
DCB,Diffusion Check Backbone,,
DDMS,Distributed Disk Management System - the tool that allocates working directories in Linux based on pre-provisioned storage volumes.,,
DFM,1) Design For Manufacture - Techniques for mask design which improve FAB yields.2) Data Fabric Manager - Proprietary software sold by Network Appliance for managing the status of their fileservers.,,
DFT,Die-Fit Target - tiny alignment marks used by the FAB for proper alignment of reticles in the steppers.,,
DIC,Drop in Cells - DIC are CD (Critical Dimension) Cells that are added to open areas of the device on critical layers.  They are used by IMO metrology to measure nested and isolated straight line features on the mask to ensure the process is properly targeted.,,
DICE,Drop In Cell Extractor - an application that extracts the DIC coordinates from a design file.,,
DIQA,Design Initiatives and Quality Assurance - Group in IMO A&S dept. who owns quality assurance of tapeout automation software (among other things),,
DISSECT,Data Insulation Separation Splitting and ExtraCtion Tool - Facilitates hierarchical tapeouts.  Breaks large device up into smaller pieces for fracture. OBSOLETE EOL on 1270,,
DMLP,Device Module Level Plan,,
DNP,1) Die NiPpon - Mask house which handles some Intel masks 2) Do Not Process - Layer name which covers areas of a design which should not be touched by an OPC flow,,
DNx,Diffusion NOT 1/2/3 (10nm Mask Layers) ,,
DP,Device Plan,,
DRC,Design Rule Check - Performed by design to make sure their design passes process DRs,,
DVE,Design Verification Engineering – DVE develops and supports process specific layout verification flows and capabilities as well as mask synthesis flows.,,
EAM,Enterprise Access Management,,
EAU,E-beam Address Units - The number of address units required to draw one micron of graphic data,,
EC,Engineering Computing,,
ECO,Engineering Change Order,,
EDA,Electronic Design Automation,,
EDI,Equivalent Die Impact - a way to indicate the impact of a yield fallout mechanism; EDI is based upon a specific product and die size,,
EMIB,Embedded Multi-die Interconnect Bridge,,
EPSM,Embedded Phase Shift Masks - A weak phase shift technique used for contact (via) holes and line/space layers (new for P1264).,,
ETL,"Extract, Transform, Load - method to push data from one db to another.  Example: TES Primary DB ? Reports DB",,
ER,Etch Ring,,
EUV,Extreme Ultraviolet Lithography WIKI,,
FAQ,Frequently Asked Questions,,
FCO,"Fab Cellset Owner - 1) builds and delivers frames to enable tapeouts, 2) manages reticle CD’s used in tapeouts, 3) provides NPI information to wafer fabs to enable silicon processing, and 4) manages the frame working group.Formerly known as CSO prior to CGM",,
FR,Fab Request,,
FSI,Front Side Polyimide. It's basically a version of GV1 with a different process.,,
FTD,Fin Trim Diode (FE Mask in FAB)  ,,
HPC,High Performance Computing – Area of study formerly known as 'Supercomputing'.  HPC/Tapeout is the title of a group under PCAM who owns the tapeout computing environment.,,
HIO,HIO is the IATA Airport Code for the Hillsboro Airport,,
HSD,"High Speed Database - This obsolete system is our former ticketing system, and has been replaced by HSD-ES",,
HTO,"Hierarchical Tape Out – For 1266 and beyond, how we plan to output to IMO.",,
IFS,Intel Foundry Services,,
IMO,Intel Mask Operations – Who we send layers to for manufacture of masks.,,
Intel Acronyms,https://intelpedia.intel.com/Intel_Acronyms,,
IPF,Itanium Processor Family - Family of processors manufactured and branded by Intel Corp which conform to the IA64 architecture spec.  Primarily aimed at high-end server and compute space.,,
ITS,Intel Tapeout Services - a vue.js front end on top of HSD-ES.,,
JDGS,"Job Deck Generation System – JDGS is used to create MEBES job decks, SMASH job decks, SCALED SMASH job decks, INDIVIDUAL PATTERN decks, Bump Mask tooling information sheet and Drop in cell coordinate files.",,
JEM,Joint Engineering Meeting,,
LAC,License Allocation Committee - Intel group with reps from all design projects where license allocation issues are dealt with.,,
LEA,Lithography Enabling Algorithms - Group within PTD who own OPC and related flows for enabling Intel's litho process capabilities.,,
LMS,Laser Measurement System? - tiny alignment marks (usually shaped like a + (plus) sign in a square box) used by the FAB for proper alignment of reticles in the steppers.  They are sometimes also called “LMS Crosses”.,,
LTD,Logic Technology Development - LTD's mission is to develop and ensure the effective use of integrated silicon logic technology to support Intel’s leadership as the preeminent building block supplier to the worldwide internet economy.,,
LUV,"Look Up Version – OPC and PLRC flows used for a particular Tapeout, it is a “bundle” of CSI tables",,
MCR,Metal Cap Reduction,,
MDP,Mask Data Prep - Process at IMO by which mask data from tapeout is prepared for loading onto a particular mask writer.,,
MDR,Mask Data Review,,
ME,"Mask Engineering - We use the Linux group me as the group of Tapeout Engineers and support (who all report to Russ Plumley) as the primary group which Tapeout processes run as, and ergo have write permission to the Tapeout Projects.  People outside of that sphere are not given access to this Linux group as an inadvertent command could wipe out some portion of one or more Tapeout projects.   For read access to Tapeout data, we will grant access via the TOME group.",,
MEBES,"Manufacturing Electron Beam Exposure System - E-beam tools at IMO which write masks.  Also, a pattern data format readable by said systems.",,
MEC,Mask Error Correction,,
METIS,Mask execution Tapeout Infrastructure System,,
MLC,Module Load Control,,
MLO,Multi-Layer Overlay,,
MPF,Mutli Product Frame.  Multipule frames and devices extisting on one reticle.  Only one frame at a time is printed on the wafer during the manufacturing process.,,
MPW,Multi Product Wafer.  Mulitiple devices manaufactured within one frame and printed on the same wafer.,,
MRC,"Manufacturability Rules Check - flag problem areas for mask making, run as part of reverse fracture",,
MRV,Module Recipe Validation,,
MTS,Mask Tooling Services - Group within IMO,,
MZ,Mazama,,
NBS,New Business System – The system by which we release layers to IMO.,,
NFS,"Network File System -  The Network File System (NFS) was developed to allow machines to mount a disk partition on a remote machine as if it were on a local hard drive. This allows for fast, seamless sharing of files across a network.",,
NIS,Network Information Service - System for sharing account login information (and other things) across a large group of UNIX or UNIX-like systems.,,
NPI,New Product Introduction,,
NTI,New Technology Introduction,,
OASIS,Open Artwork System Interchange Standard - SEMI standard defining an interchange and encapsulation format for hierarchical integrated circuit mask layout information.,,
OGD / PGD,"Othoganal to Gate Direction (Y-direction), Parallel to Gate Direction (X-direction)",,
OPC,Optical Proximity Correction - Hierarchically applies optical correction using model based methods.,,
PAS,Performance Against Schedule,,
PCAM,Platform Capabilities and Account Management - Name for what is essentially the group within IT who owns compute platforms and services.,,
PDS,"Process Drawing Specification - lists the layers, plate types, polarity, and mask CDs and goes to the internal and external mask shops",,
PDT,Product Development Team. Basically the division’s engineering/marketing/management forum to control the direction of the product. All product decisions are made through this team. ,,
PDV ,Process Descriptor Value - An identifier for type of IMO mask manufacturing process.,,
PGM,ProGram Meeting,,
PLRC,"Proteus Lithography Rules Check - PLRC is a Proteus based application used to detect possible lithography violations ( bridging, pinching, pullback) OBSOLETE",,
POR,Plan Of Record,,
PPF,Peripheral Pattern File - Pattern files included in jobdecks which are placed in the mask periphery.,,
pre_exec,Pre Execution program that runs as part of every Netbatch job to do just-in-time validation of the system.   See:   http://goto.intel.com/pre_exec,,
Prime/Double Prime Tapeout,"A Prime/Double Prime (etc) tapeout is when we have shipped a product to IMO, but no wafers have been made AND design wants to make a change within same stepping.",,
PROPEL,Product ROadmap and PrioritiEs ALlocation Tool.  Allows us to see upcoming Tapeouts.,,
PSM,Phase Shift Mask,,
PT,Pass-through,,
RET,"Resolution Enhancement Technology - combination of OPC, Multipatterning, SRAFs, and other techniques to create an integrated pattern solution using masks and litho platforms",,
RHEL,RedHat Enterprise Linux - 'Enterprise' Linux distribution sold by RedHat.   Currently the baseline OS on our IPF machines (as of q3'05),,
RISO,Repaired ISO or Redundant ISO.,,
RDM,Reference Data Management - Tool that intercepts YAML Files generated by TES or METIS and stores them in Mongo DB,,
RSO,Recipe Set Owner,,
RR,Release Review - Final Review of Project certifying it prior to Release to IMO,,
RTW,Release-To-Write,,
SCL,Synopsys Common Licensing - Software licensing system developed by Synopsys software.,,
SFA,"Selected Field Area - used by CATS geo command to ensure data wholly contained within boundary OBSOLETE",,
SLES,"SuSE Linux Enterprise Server - Linux distribution sold by Novell.  https://www.suse.com/products/server/   SLES12 SP5 is the current Tapeout POR Linux system, supported by TCS",,
SRAF,Sub-Resolution Assist Feature,,
SRR,Scribeline Reference Rectangle - Window containing 1 die + 1 etch ring,,
SSG,Software Solutions Group,,
STI,Shallow Trench Isolation,,
TCAD,"Technology Computer Aided Design  - A department within Logic Technology Development. Intel's TCAD Division provides simulation software and support for development of Intel process, device, and circuit technologies.",,
TCS,"Tapeout Compute Services (formerly HPC) - Supports the hardware (systems, networking, fileservers), operating systems, and system level software.  http://tcswiki.intel.com/",,
TE,Transcription Enterprises - Original authors of CATS software OBSOLETE,,
TES,Tapeout Execution System – The system under development for managing 1266 (and beyond) Tapeouts.,,
TFP,Text Field Plot - IFGS output.  Graphical plot of location of each frame cell,,
TFSE,Tapeout & Frames Software Engineering,,
TIE,Technology Integration Engineering - Group within IMO,,
TIP,Tapeout Interface Program (replaced with NBS),,
TLA,Three Letter Acronym - A method of shorthand highly used at Intel.,,
TNG,"Tapeout Number Gatherer – automated system for gathering and presenting TPT, PLRC/MRC and other information from a tapeout.  TNG is a tool that was developed by Roger Southwick from SCTO, and now it is transferred and owned by IMO A&S-DIQA for maintenance and future enhancements. OBSOLETE",,
TOME,"TapeOut Mask Engineering - We use tome as one of the main Linux groups for broader access to Tapeout Data.   People in tome should not be able to write into TapeOut Project directories.",,
TOOD,TapeOut Operations Development,,
TOOP,TapeOut Operations Production,,
